companies,labelName,labelCode
TCI,LITHO DT-5 F-style Gallon,11
TCI,LITHO WG F-style Gallon,12
TCI,LITHO UR600 F-style Gallon,13
TCI,LITHO UR610 F-style Gallon,14
TCI,LITHO UR620 F-style Gallon,15
TCI,LITHO Acetone F-style Gallon,16
TCI,Block Green,100
TCI,Block Red,101
TCI,Block Yellow,102
TCI,Block Teal,103
TCI,Block Blue,104
TCI,Block Purple,105
TCI,TCI Generic Maroon w/Toxic ,106
TCI,Block Black/Yellow,107
TCI,TCI Generic Yellow  ,109
TCI,TCI Generic Maroon,110
TCI,TCI Generic Blue ,111
TCI,TCI Generic Green ,112
TCI,Red/Yellow Jag,115
TCI,Americana,116
TCI,Green/Purple Mercedes,117
TCI,Stars,119
TCI,Car Wrench,120
TCI,Lighthouse,126
TCI,Smoke Gray / Industrial Silver,128
TCI,Sunset,129
TCI,Pink Spray Gun,134
TCI,Red Checkered Flag,135
TCI,New Horizons,136
TCI,AQ Blend,137
TCI,Flaming Wheel,143
TCI,Blue Dot,144
TCI,ACS,145
TCI,Refinishers Choice,156
TCI,Blue Checkered Flag ,160
Lashley,Lashley Pink Stripe Preprinted,167
Lashley,Lashley Yellow Thinner Preprinted,168
TCI,TCI Coating Red  Prismatic ,171
TCI,TCI Coating Blue  Prismatic ,173
TCI,TCI Coating Green  Prismatic ,176
TCI,TCI Coating Teal  Prismatic ,179
TCI,Red Car Swirl,187
PBE/Old School,Old School,188
TCI,TCI Coating Orange  Prismatic ,189
BAPS,BAPS WG F-style,191
TCI,Bad Monkey Black Prismatic,196
TCI,C49 Yes! Miracle Cleaner,197
TCI,TCI Coating Yellow Prismatic ,202
TCI,TCI Coating Purple  Prismatic ,204
TCI,Block Lime Tasco,206
TCI,Orange Checkered Flag,207
IFS,IFS 7400V,208
Carolinas,Carolinas Auto Supply,209
TCI,USA Auto Body Supply,210
TCI,Carolina Colors,211
TCI,V56 Lime-It,220
Extreme Coatings,TriStar 6600 5L FRONT,221
Extreme Coatings,TriStar 661 2.5L FRONT,222
Extreme Coatings,TriStar 662 2.5L FRONT,223
Extreme Coatings,TriStar 663 2.5L FRONT,224
PF3/NovoGen,PF3 WG/CAR609 FRONT F-style,225
PF3/NovoGen,PF3 UR620/UG885 Slow FRONT F-style,226
DOT,DOT 4x6 UN3082,227
PF3/NovoGen,PF3 DT5/TG500 FRONT F-style,228
Coop's Wholesale,UR610 S-tyle FRONT,229
Palmetto,Palmetto 6400/9453 F-style gal FRONT,230
BAPS,BAPS DT5 F-style,231
Premier,Premier QM1200 F-style,232
Premier,Premier WG F-style,233
Proline,6400/Pro 11 F-style front,234
TCI,TCI DT5 1 gallon & Five gallons,235
TCI,TCI DT10 One gallon,236
TCI,TCI 4200 Gallon,237
TCI,TCI 421 Quart,238
TCI,TCI 6400 Gallon BACK NEW FORMULA,239
TCI,TCI Acetone 1 Gal,242
TCI,TCI GOV 1 Gal,243
TCI,TCI RegMS 1 Gal,245
TCI,TCI WG 1 Gal,246
Proline,6600/Pro13 5L,247
Proline,642/Pro32 CT Quart,248
TCI CCI,DYNO Metro Chemical,249
TCI CCI,Blue & White Arch,250
Wasco,Wasco 0605 Ultra Blue 5 gal,251
Wasco,Wasco 0514 Pink Wheel Acid 1 gal,252
Wasco,Wasco 0514 Pink Wheel Acid 5 gal,253
TCI CCI,DYNO Industrial Silver,254
TCI CCI,CAG Blue,255
DOT,DOT 4x6 Flammable Blank,256
DOT,DOT 4x6 Corrosive Blank,257
DOT,DOT 4x6 UN1263,258
DOT,DOT 4x4 EHS (Dead Fish),259
Wasco,WASCO Red,260
DOT,DOT 4x4 Toxic,261
